order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value
002c9def9c9b951b1bec6d50753c9891,1,2d9ff06c8870a518f5f6909774e140fb,00720abe85ba0859807595bbf045a33b,2018-05-21 17:32:03,78.0,8.9
002c9def9c9b951b1bec6d50753c9891,2,2d9ff06c8870a518f5f6909774e140fb,00720abe85ba0859807595bbf045a33b,2018-05-21 17:32:03,78.0,8.9
01c998b70e420ec36563386a4b71c6bc,1,ef5c31aee1d5074121a478b14d3eb50e,3d871de0142ce09b7081e2b9d1733cb1,2018-01-29 13:57:28,89.0,17.87
08d0d3587fdedecc31be9c29c74b819b,1,3e34352aa9c04170d941a9a8c6a895bb,1987cd4be10fe09ee50454f9c354d1c6,2017-10-31 07:28:08,167.9,13.31
0a92bad75c24fdf33ed2a18801262e89,1,2c8e38b2b220b65a306d88444defb4fd,c8467937e403e76a8ee9f0ab13f6f5ef,2018-08-17 20:25:16,42.9,13.64
0e748699edd544eb244d173a5658b7a8,1,389d119b48cf3043d311335e499d9c6b,1f50f920176fa81dab994f9023523100,2017-11-23 03:46:26,59.9,6.72
0e748699edd544eb244d173a5658b7a8,2,389d119b48cf3043d311335e499d9c6b,1f50f920176fa81dab994f9023523100,2017-11-23 03:46:26,59.9,6.72
10f25cfbf408acbf806f6d86537b0bbb,1,02ce467092b184e71d3967d29110adc1,7c67e1448b00f6e969d365cea6b010ab,2017-09-12 00:04:21,169.99,53.79
197edbaa61a8a349f382553fd2180ee1,1,22a8168cf1f1c6347da8d29863b7f75e,612170e34b97004b3ba37eae81836b4c,2018-07-11 14:10:56,296.5,9.66
22ff296bec6517df99f56d2098171b8e,1,d22f287512fb5bda6efc5c8e6216c6db,f84a00e60c73a49e7e851c9bdca3a5bb,2018-02-19 22:45:32,134.2,12.39
39f948e000e2da7329061c875b6d35a1,1,a62e25e09e05e6faf31d90c6ec1aa3d1,634964b17796e64304cadf1ad3050fb7,2018-04-16 03:49:43,105.0,9.27
3d257c464d0525772e3408c2b25a8c31,1,aef099a1948ab0d8a11c5a4b41ab3809,1025f0e2d44d7041d6cf58b6550e0bfa,2018-05-28 02:31:29,96.0,7.54
40425c5224829e5cc488f67f75f28d5f,1,4025cbfac798d74f87c30ee87e6e9f70,d8c7ba53e7e38711eaef8c2849d6d2e1,2018-08-21 19:10:32,117.0,58.9
59e50342da3b55417e121c01aa5aa6ea,1,7be864c6decdcc486fdcd720b1a721c0,cb8bcce248bb1fb274ba762d8b971456,2017-03-10 19:30:20,65.9,14.63
59e50342da3b55417e121c01aa5aa6ea,2,7be864c6decdcc486fdcd720b1a721c0,cb8bcce248bb1fb274ba762d8b971456,2017-03-10 19:30:20,65.9,14.63
5d9a4411068892bb475d32879e076e1e,1,7ada7bee4052075cf6310885da8c4392,3d871de0142ce09b7081e2b9d1733cb1,2017-07-17 09:10:13,79.0,13.57
6366ce592c90a36450778259cb163cc5,1,90aaf7f993470e411207adabf5b998b6,1fe5540d7c1c37a595fefbacd5570d9e,2018-08-13 04:10:38,189.0,19.42
6ef587afa4703fd874edb7ade8efc7b0,1,7f776a76a6dce545729c997e60240ffa,c1d1ebb4745cc43cb6f05e9c8a705c9a,2017-11-27 03:46:31,8.5,11.73
749b689efad761f8c94941fa3adfb702,1,09c3d39641970009c198caed304ccfc4,5a8e7d5003a1f221f9e1d6e411de7c23,2017-03-02 12:32:16,39.9,10.96
75294baf702b2b91d850644b87670ff6,1,0ea678faa34b54418a17e76511472882,3935fe5fe0f82787a9dcb8deb62be09d,2018-08-24 12:29:47,112.99,25.14
7deb5565bced95f67ceac6f5dc57d4f4,1,9f1c3e71d56894398a42b050b07f1baa,92eb0f42c21942b6552362b9b114707d,2018-01-26 17:37:02,12.77,7.78
